Date,Description,Amount,Account
2026-02-15,Nuflex Wellness Clinic,-$24.09,Wealthsimple Account
2026-02-14,Sq *Oakberry Acai Bowls &,-$35.81,Wealthsimple Account
2026-02-12,Porkbun.Com,-$13.36,Wealthsimple Account
2026-02-12,Amazon* Zt7N13Im3,-$31.35,Wealthsimple Account
2026-02-11,Bulk Barn #742 Langley,-$11.64,Wealthsimple Account
2026-02-09,Amazon.Ca* Xr2S15603,-$33.99,Wealthsimple Account
2026-02-07,Sq *Lee's Donuts Willowbr,-$11.0,Wealthsimple Account
2026-02-07,T&T Supermarket #031,-$25.05,Wealthsimple Account
2026-02-06,Willowbrook Produce,-$7.47,Wealthsimple Account
2026-02-06,Real Cdn Superstore #1,-$5.98,Wealthsimple Account
2026-02-06,Real Cdn Superstore #1,-$32.09,Wealthsimple Account
2026-02-06,Amazon.Ca* Nt9Di3Bv3,-$17.91,Wealthsimple Account
2026-02-03,Associated Veterinary,-$140.84,Wealthsimple Account
2026-02-03,Amazon* Bf7Zr8683,-$22.39,Wealthsimple Account
2026-02-03,Amazon* Ht6Gu0M63,-$7.73,Wealthsimple Account
2026-02-02,Fullscript.Com,-$46.07,Wealthsimple Account
2026-02-02,Amazon* 4790R0J63,-$47.22,Wealthsimple Account
2026-02-01,Amazon* Cc5Li1Pm3,-$134.39,Wealthsimple Account
2026-02-01,Hangtag Parking,-$10.74,Wealthsimple Account
2026-02-01,Adidas Ca,-$85.12,Wealthsimple Account
2026-02-01,Super Save Gas #1,-$5.07,Wealthsimple Account
2026-02-01,Super Save Gas #1,-$82.36,Wealthsimple Account
2026-01-29,Wal-Mart Supercenter#3158,-$8.68,Wealthsimple Account
2026-01-25,Wal-Mart Supercenter#1205,-$20.35,Wealthsimple Account
2026-01-24,Great Clips #2744,-$30.3,Wealthsimple Account
2026-01-19,Amazon* Le4O53Ny3,-$32.46,Wealthsimple Account
2026-01-17,Aliexpress,-$41.23,Wealthsimple Account
2026-01-16,Amazon* Yk3Dm2Ry3,-$37.69,Wealthsimple Account
2026-01-16,Aquarius Dental,-$33.84,Wealthsimple Account
2026-01-14,Amazon.Ca* 1P2M25Hd3,-$15.65,Wealthsimple Account
2026-01-14,Amazon.Ca* Tq2Mo73H3,-$22.29,Wealthsimple Account
2026-01-14,Amazon.Ca* Dz6V30It3,-$18.99,Wealthsimple Account
2026-01-14,Bulk Barn #742 Langley,-$15.68,Wealthsimple Account
2026-01-14,Dollarama # 757,-$26.88,Wealthsimple Account
2026-01-14,Mobil 1 Lube Express,-$16.0,Wealthsimple Account
2026-01-12,Willowbrook Produce,-$10.83,Wealthsimple Account
2026-01-12,Amazon* 2W6Im3Kb3,$53.75,Wealthsimple Account
2026-01-11,Amazon* Qz6Zu7O73,$14.77,Wealthsimple Account
2026-01-10,Kim's Coin Laundry,-$32.26,Wealthsimple Account
2026-01-09,Homes Alive Pet Centre,-$13.86,Wealthsimple Account
2026-01-07,Amazon* Q30Y24933,-$41.97,Wealthsimple Account
2026-01-07,Amazon* 2W6Im3Kb3,-$53.75,Wealthsimple Account
2026-01-06,Amazon* Gi3M28Li3,$10.63,Wealthsimple Account
2026-01-06,Amazon* Qz6Zu7O73,-$14.77,Wealthsimple Account
2026-01-05,Once Upon A Child,-$17.59,Wealthsimple Account
2026-01-05,Willowbrook Produce,-$10.99,Wealthsimple Account
2026-01-04,The Hard Bean Brunch Co,-$19.82,Wealthsimple Account
2026-01-03,Amazon* Gi3M28Li3,-$10.63,Wealthsimple Account
